                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3709,                 2.3105,                 1.5597,                0.53861,                0.42238,                0.41811,                0.21795,                 1.5669,                 3.1153,                 1.8625,             0.00046812,             0.00046812,             0.00046812
                      2,                 1.4375,                 1.7451,                 1.5668,                0.15128,                0.27708,                0.12095,                0.04372,                 2.1409,                 15.491,                 3.0752,              0.0009351,              0.0009351,              0.0009351
                      3,                 1.5281,                 1.7121,                 1.6145,                0.24989,                0.24614,                0.14404,                0.05172,                 2.2453,                 9.6842,                 2.8539,              0.0013927,              0.0013927,              0.0013927
                      4,                 1.5136,                 1.6394,                 1.6121,                0.27456,                 0.4073,                0.25149,                0.12587,                 1.8525,                 3.0477,                 2.2259,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5029,                 1.5901,                  1.562,                0.37544,                0.44382,                0.28095,                0.14524,                 1.8504,                 4.6142,                 2.1912,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.4549,                 1.4531,                 1.5408,                0.53888,                0.48387,                0.44737,                0.24615,                 1.7518,                 2.6707,                 2.1253,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.4323,                 1.4241,                 1.5247,                0.59174,                0.47646,                0.51496,                0.27147,                 1.7716,                 2.4263,                 2.0625,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.3666,                  1.413,                 1.4796,                0.47635,                0.51312,                0.44175,                0.24092,                 1.6659,                 2.5858,                 2.1226,                0.00133,                0.00133,                0.00133
                      9,                 1.3802,                 1.3384,                 1.4749,                0.56559,                 0.5586,                0.54818,                0.32389,                 1.7358,                 2.1997,                 2.0499,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.3224,                 1.2939,                 1.4392,                0.74434,                0.55936,                0.64628,                0.39003,                 1.5287,                  1.904,                 1.8675,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.3074,                 1.2454,                  1.438,                0.51265,                0.62471,                0.57452,                0.35375,                 1.5449,                 2.0909,                 1.8601,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2761,                 1.2086,                  1.427,                0.67872,                 0.5487,                0.59671,                0.38771,                 1.4479,                 1.7851,                 1.7784,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2905,                 1.1849,                 1.4112,                0.59961,                0.54905,                0.55866,                0.36509,                 1.4008,                 1.9443,                 1.7048,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2484,                 1.1655,                 1.3908,                0.68856,                0.62946,                0.63492,                0.40185,                 1.4203,                 1.7946,                  1.707,              0.0012451,              0.0012451,              0.0012451
